0,1.5,1.1895,0.7,,,,speed,sleep,total time
0.289860474284215,1.5,1.17483333333333,0.71375,,,,0.1,1.4418,44.0338310946154
0.579720948568328,1.5,1.16016666666667,0.7275,,,,,,
0.869581422852542,1.5,1.1455,0.74125,,,,,,
1.15944189713676,1.5,1.13083333333333,0.755,,,,,,
1.44930237142087,1.5,1.11616666666667,0.76875,,,,,,
2.01127565995697,1.5,1.08683333333333,0.794416666666667,,,,,,
2.30113613424108,1.5,1.07216666666667,0.808166666666667,,,,,,
2.86310942277718,1.5,1.04283333333333,0.833833333333333,,,,,,
3.42508271131318,1.5,1.0135,0.8595,,,,,,
3.9870559998492,1.5,0.984166666666667,0.885166666666667,,,,,,
4.54041556112402,1.5,0.954833333333333,0.909916666666667,,,,,,
5.10238884966004,1.5,0.9255,0.935583333333333,,,,,,
5.67315193689173,1.5,0.896166666666667,0.962166666666667,,,,,,
6.24391502412343,1.5,0.866833333333333,0.98875,,,,,,
6.5337754984076,1.5,0.852166666666667,1.0025,,,,,,
6.8328307551613,1.5,0.8375,1.01716666666667,,,,,,
7.1318860119149,1.5,0.822833333333333,1.03183333333333,,,,,,
7.42174648619912,1.5,0.809083333333333,1.0465,,,,,,
7.97510604747389,1.5,0.784333333333333,1.07583333333333,,,,,,
8.49594347854459,1.5,0.76325,1.10516666666667,,,,,,
8.99468032507185,1.5,0.744916666666667,1.1345,,,,,,
9.46176721681707,1.5,0.731166666666667,1.16383333333333,,,,,,
9.91345451881712,1.5,0.720166666666667,1.19316666666667,,,,,,
10.3527913358905,1.5,0.711916666666667,1.2225,,,,,,
10.7830894007072,1.5,0.706416666666667,1.25183333333333,,,,,,
11.2093087188288,1.5,0.70275,1.28116666666667,,,,,,
11.6340912232169,1.5,0.7,1.3105,,,,,,
12.0570192232169,1.5,0.7,1.33983333333333,,,,,,
12.4801536806371,1.5,0.700916666666667,1.36916666666667,,,,,,
12.9082132442381,1.5,0.7055,1.3985,,,,,,
13.3475500613115,1.5,0.71375,1.42783333333333,,,,,,
13.804045751975,1.5,0.725666666666667,1.45716666666667,,,,,,
14.2892911288648,1.5,0.742166666666667,1.4865,,,,,,
14.8259851882135,1.5,0.765083333333333,1.51583333333333,,,,,,
15.1158456624977,1.5,0.77975,1.52958333333333,,,,,,
15.6607759175075,1.5,0.809083333333333,1.55341666666667,,,,,,
16.1460212943974,1.5,0.838416666666667,1.56991666666667,,,,,,
16.6025169850608,1.5,0.86775,1.58183333333333,,,,,,
17.0418538021342,1.5,0.897083333333333,1.59008333333333,,,,,,
17.4699133657352,1.5,0.926416666666667,1.59466666666667,,,,,,
17.8930478231554,1.5,0.95575,1.59558333333333,,,,,,
18.3168010493059,1.5,0.985083333333333,1.59375,,,,,,
18.7470991141227,1.5,1.01441666666667,1.58825,,,,,,
19.1901969367408,1.5,1.04375,1.57908333333333,,,,,,
19.6572838284861,1.5,1.07308333333333,1.56533333333333,,,,,,
20.1491436490308,1.5,1.10241666666667,1.54791666666667,,,,,,
20.6940739040406,1.5,1.13175,1.52408333333333,,,,,,
20.9931291607942,1.5,1.14641666666667,1.50941666666667,,,,,,
21.5464887220691,1.5,1.17116666666667,1.48008333333333,,,,,,
22.0275765838273,1.5,1.19133333333333,1.4535,,,,,,
22.5334423296989,1.5,1.21058333333333,1.48283333333333,,,,,,
23.0954156182351,1.5,1.23625,1.51216666666667,,,,,,
23.3852760925193,1.5,1.25091666666667,1.52591666666667,,,,,,
23.930206347529,1.5,1.28025,1.54975,,,,,,
24.4220661680736,1.5,1.30958333333333,1.56716666666667,,,,,,
24.8836986670867,1.5,1.33891666666667,1.58,,,,,,
25.3267964897049,1.5,1.36825,1.58916666666667,,,,,,
25.7548560533058,1.5,1.39758333333333,1.59375,,,,,,
26.1786092794565,1.5,1.42691666666667,1.59558333333333,,,,,,
26.6017437368766,1.5,1.45625,1.59466666666667,,,,,,
27.0320418016932,1.5,1.48558333333333,1.58916666666667,,,,,,
27.4713786187668,1.5,1.51491666666667,1.58091666666667,,,,,,
27.9278743094302,1.5,1.54425,1.569,,,,,,
28.4197341299748,1.5,1.57358333333333,1.55158333333333,,,,,,
28.9646643849846,1.5,1.60291666666667,1.52775,,,,,,
29.2545248592688,1.5,1.61666666666667,1.51308333333333,,,,,,
29.7912189186175,1.5,1.63958333333333,1.48375,,,,,,
30.2764642955073,1.5,1.65608333333333,1.45441666666667,,,,,,
30.7281515975074,1.5,1.66708333333333,1.42508333333333,,,,,,
31.1674884145808,1.5,1.67533333333333,1.39575,,,,,,
31.5937077327023,1.5,1.679,1.36641666666667,,,,,,
32.0168421901226,1.5,1.67991666666667,1.33708333333333,,,,,,
32.4399766475427,1.5,1.679,1.30775,,,,,,
32.8637298736932,1.5,1.67716666666667,1.27841666666667,,,,,,
33.2899491918148,1.5,1.6735,1.24908333333333,,,,,,
33.7228778359633,1.5,1.66708333333333,1.21975,,,,,,
34.1622146530367,1.5,1.65883333333333,1.19041666666667,,,,,,
34.6139019550368,1.5,1.64783333333333,1.16108333333333,,,,,,
35.0867498338307,1.5,1.63316666666667,1.13175,,,,,,
35.585486680358,1.5,1.61483333333333,1.10241666666667,,,,,,
36.1063241114287,1.5,1.59375,1.07308333333333,,,,,,
36.6682973999647,1.5,1.56808333333333,1.04375,,,,,,
36.9581578742489,1.5,1.55433333333333,1.02908333333333,,,,,,
37.2572131310024,1.5,1.53966666666667,1.01441666666667,,,,,,
37.5562683877562,1.5,1.525,0.99975,,,,,,
37.8461288620404,1.5,1.51033333333333,0.986,,,,,,
38.1359893363245,1.5,1.49566666666667,0.97225,,,,,,
38.6979626248606,1.5,1.46633333333333,0.946583333333333,,,,,,
39.2599359133966,1.5,1.437,0.920916666666667,,,,,,
39.8219092019326,1.5,1.40766666666667,0.89525,,,,,,
40.3838824904687,1.5,1.37833333333333,0.869583333333333,,,,,,
40.9458557790047,1.5,1.349,0.843916666666667,,,,,,
41.5078290675407,1.5,1.31966666666667,0.81825,,,,,,
42.0698023560768,1.5,1.29033333333333,0.792583333333333,,,,,,
42.3596628303609,1.5,1.27566666666667,0.778833333333333,,,,,,
42.9304259175927,1.5,1.24633333333333,0.75225,,,,,,
43.2202863918768,1.5,1.23166666666667,0.7385,,,,,,
43.510146866161,1.5,1.217,0.72475,,,,,,
43.8000073404452,1.5,1.20233333333333,0.711,,,,,,
44.0338310946154,1.5,1.19041666666667,0.7,,,,,,
